"","estimate.ProdQual","estimate.Ecom","estimate.TechSup","estimate.CompRes","estimate.Advertising","estimate.ProdLine","estimate.SalesFImage","estimate.ComPricing","estimate.WartyClaim","estimate.OrdBilling","estimate.DelSpeed","estimate.Satisfaction","p.value.ProdQual","p.value.Ecom","p.value.TechSup","p.value.CompRes","p.value.Advertising","p.value.ProdLine","p.value.SalesFImage","p.value.ComPricing","p.value.WartyClaim","p.value.OrdBilling","p.value.DelSpeed","p.value.Satisfaction","statistic.ProdQual","statistic.Ecom","statistic.TechSup","statistic.CompRes","statistic.Advertising","statistic.ProdLine","statistic.SalesFImage","statistic.ComPricing","statistic.WartyClaim","statistic.OrdBilling","statistic.DelSpeed","statistic.Satisfaction","n","gp","method"
"ProdQual",1,0.154959703713233,0.00242422176902871,-0.0563541415145155,0.112376746118697,0.281144724126635,-0.376228551163703,-0.0140213855331709,-0.0427524162909485,0.0545232154602752,-0.33508421002548,0.60743878745952,0,0.144743458436502,0.981908132510051,0.597798738009854,0.291635006099364,0.00726903009310037,0.000257621164056922,0.895644327214521,0.689083900066722,0.609769742402468,0.00124519220206672,2.18223756239173e-10,0,1.47142451643363,0.0227412828051842,-0.52949015014239,1.06090745830024,2.74821968262917,-3.80921124975526,-0.131545186836987,-0.40142023381612,0.512235046152421,-3.33624277596254,7.17336519057357,100,10,"pearson"
"Ecom",0.154959703713233,1,0.0823590000905881,-0.0335137767713667,-0.000297250411209957,0.15386605448833,0.732101188996922,0.0149131856560937,-0.12325538224276,0.154699052062795,-0.00839179296935578,-0.330844083393948,0.144743458436502,0,0.440282250893816,0.75383746905994,0.99778144833429,0.14763525124267,2.44201201499098e-16,0.889047959084667,0.247118176202335,0.145428762837409,0.937430282886703,0.00144760281871817,1.47142451643363,0,0.775229570605329,-0.314563797929641,-0.00278845614989729,1.46078700166986,10.0818544960554,0.139913641540451,-1.16512204786275,1.46888875439881,-0.0787247680273437,-3.28879995810426,100,10,"pearson"
"TechSup",0.0024242217690287,0.0823590000905882,1,0.143603415125355,-0.0593002540225173,-0.125349049783536,-0.0933107958700331,-0.132972485104711,0.787729605699762,-0.165914723588473,-0.0219149160969114,0.0551118666582803,0.981908132510051,0.440282250893816,0,0.176917075313853,0.578760147453087,0.239118687958279,0.381704241447318,0.211514854645158,3.26286761660109e-20,0.118086417408649,0.837555260418997,0.605909593027193,0.0227412828051841,0.77522957060533,0,1.36122814214517,-0.557266374174351,-1.18522655082791,-0.879168641487465,-1.25856891189599,11.9956248360214,-1.57829304626754,-0.205629519783707,0.51778206820811,100,10,"pearson"
"CompRes",-0.0563541415145151,-0.0335137767713666,0.143603415125355,1,-0.0648060930920889,0.0203056497359316,-0.022150932838308,-0.0044871511273999,-0.109686210577825,0.288344382356743,0.528932327607687,0.172416346821386,0.597798738009857,0.753837469059941,0.176917075313853,0,0.543951129099713,0.84933803523936,0.835830127557522,0.966519417264887,0.303414727680377,0.00585070994133935,8.35906931251881e-08,0.104159303496895,-0.529490150142386,-0.31456379792964,1.36122814214517,0,-0.609215687853493,0.190523161318209,-0.207845166267789,-0.0420936324991181,-1.03519394780376,2.82489237113178,5.84663073173425,1.64199900889647,100,10,"pearson"
"Advertising",0.112376746118697,-0.000297250411209973,-0.0593002540225173,-0.0648060930920888,1,-0.131923186592493,0.262879342943652,-0.0632980381332099,0.0275909586841156,-0.032658042979653,0.204654406438424,-0.0449735410545997,0.291635006099363,0.99778144833429,0.578760147453087,0.543951129099713,0,0.215173675273418,0.012306719184425,0.553382806927335,0.796298029555688,0.759930471471863,0.0530006984478888,0.67382405192005,1.06090745830024,-0.00278845614989745,-0.557266374174351,-0.609215687853492,0,-1.24846080667824,2.55592188071651,-0.594981366123032,0.25892470828614,-0.306523103327795,1.96134168930083,-0.422316520447884,100,10,"pearson"
"ProdLine",0.281144724126635,0.15386605448833,-0.125349049783536,0.0203056497359319,-0.131923186592493,1,-0.230170570147814,-0.361757903924231,0.257183604651847,-0.280980675074005,0.501895050525797,0.183251563836441,0.00726903009310039,0.14763525124267,0.239118687958279,0.849338035239357,0.215173675273418,0,0.0290756257365409,0.000459344275867086,0.0144024854515541,0.00730460648965601,4.66427755672141e-07,0.0838362496462512,2.74821968262917,1.46078700166986,-1.18522655082791,0.190523161318212,-1.24846080667824,0,-2.21876449791496,-3.6401282889756,2.49657444288339,-2.74647858565395,5.44344735781614,1.74866382681184,100,10,"pearson"
"SalesFImage",-0.376228551163703,0.732101188996922,-0.093310795870033,-0.0221509328383081,0.262879342943652,-0.230170570147814,1,0.12661248878828,0.189300270537135,-0.182359300971939,0.00588992458459463,0.660251850199444,0.000257621164056922,2.44201201499117e-16,0.381704241447318,0.835830127557521,0.012306719184425,0.0290756257365408,0,0.234379137440502,0.0739454085421512,0.0853804743422568,0.956061881193464,1.44971872734233e-12,-3.80921124975526,10.0818544960554,-0.879168641487464,-0.20784516626779,2.5559218807165,-2.21876449791496,0,1.19736652517699,1.80849285723656,-1.739855852596,0.0552533486026248,8.24679931823243,100,10,"pearson"
"ComPricing",-0.0140213855331709,0.0149131856560938,-0.132972485104711,-0.00448715112739968,-0.0632980381332099,-0.361757903924231,0.12661248878828,1,0.0203515535706113,-0.086500869126557,0.190437992708376,-0.0874677107107731,0.895644327214521,0.889047959084667,0.211514854645158,0.966519417264889,0.553382806927335,0.000459344275867086,0.234379137440502,0,0.84900146349079,0.417555577982948,0.0721942454455676,0.412350015188917,-0.131545186836987,0.139913641540451,-1.25856891189599,-0.042093632499116,-0.594981366123032,-3.6401282889756,1.19736652517699,0,0.190954044525012,-0.814503019977479,1.81976992205248,-0.82367671786963,100,10,"pearson"
"WartyClaim",-0.0427524162909484,-0.12325538224276,0.787729605699762,-0.109686210577825,0.0275909586841156,0.257183604651847,0.189300270537135,0.0203515535706114,1,0.259844508706002,-0.0916490022780133,-0.0886807096861697,0.689083900066722,0.247118176202334,3.26286761660109e-20,0.303414727680376,0.796298029555688,0.0144024854515541,0.0739454085421511,0.849001463490789,0,0.0133877361353437,0.390277007413463,0.405872895759865,-0.40142023381612,-1.16512204786275,11.9956248360214,-1.03519394780376,0.25892470828614,2.49657444288339,1.80849285723656,0.190954044525013,0,2.52426486786616,-0.863377482299211,-0.835189355411408,100,10,"pearson"
"OrdBilling",0.0545232154602753,0.154699052062795,-0.165914723588473,0.288344382356743,-0.032658042979653,-0.280980675074005,-0.182359300971939,-0.0865008691265571,0.259844508706001,1,0.350530211837516,0.148800546021706,0.609769742402468,0.14542876283741,0.118086417408649,0.0058507099413393,0.759930471471863,0.00730460648965599,0.0853804743422571,0.417555577982947,0.0133877361353438,0,0.000706411441283475,0.161597457533093,0.512235046152422,1.46888875439881,-1.57829304626754,2.82489237113179,-0.306523103327795,-2.74647858565395,-1.739855852596,-0.81450301997748,2.52426486786616,0,3.51103503133209,1.41158773460484,100,10,"pearson"
"DelSpeed",-0.33508421002548,-0.00839179296935574,-0.0219149160969114,0.528932327607686,0.204654406438424,0.501895050525797,0.00588992458459454,0.190437992708376,-0.0916490022780133,0.350530211837516,1,0.0895561431393586,0.00124519220206671,0.937430282886703,0.837555260418997,8.35906931251917e-08,0.0530006984478887,4.66427755672125e-07,0.956061881193465,0.0721942454455674,0.390277007413463,0.000706411441283474,0,0.401235626158559,-3.33624277596254,-0.0787247680273433,-0.205629519783707,5.84663073173424,1.96134168930084,5.44344735781615,0.0552533486026239,1.81976992205249,-0.863377482299211,3.51103503133209,0,0.843500464530596,100,10,"pearson"
"Satisfaction",0.60743878745952,-0.330844083393948,0.0551118666582803,0.172416346821386,-0.0449735410545996,0.183251563836441,0.660251850199444,-0.0874677107107731,-0.0886807096861697,0.148800546021706,0.0895561431393584,1,2.18223756239175e-10,0.00144760281871818,0.605909593027194,0.104159303496895,0.67382405192005,0.0838362496462512,1.4497187273424e-12,0.412350015188916,0.405872895759865,0.161597457533093,0.40123562615856,0,7.17336519057357,-3.28879995810426,0.51778206820811,1.64199900889647,-0.422316520447883,1.74866382681184,8.24679931823242,-0.82367671786963,-0.835189355411408,1.41158773460484,0.843500464530594,0,100,10,"pearson"
